"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
904.330261,1.990961,904.330261,0,0,,
905.8937,1.990908,905.8937,0,0,,
907.456848,1.990855,907.456848,0,0,,
909.019836,1.990803,909.019836,0,0,,
910.5827,1.990751,910.5827,0,0,,
912.1453,1.9907,912.1453,0,0,,
913.7078,1.990648,913.7078,0,0,,
915.270142,1.990597,915.270142,0,0,,
916.832336,1.990546,916.832336,0,0,,
918.3942,1.990496,918.3942,0,0,,
919.956055,1.990445,919.956055,0,0,,
921.5177,1.990396,921.5177,0,0,,
923.0791,1.990346,923.0791,0,0,,
924.6403,1.990296,924.6403,0,0,,
926.201355,1.990247,926.201355,0,0,,
927.7623,1.990198,927.7623,0,0,,
929.323059,1.990149,929.323059,0,0,,
930.8835,1.990101,930.8835,0,0,,
932.443848,1.990053,932.443848,0,0,,
934.0041,1.990005,934.0041,0,0,,
935.5641,1.989957,935.5641,0,0,,
937.12384,1.98991,937.12384,0,0,,
938.6835,1.989863,938.6835,0,0,,
940.242859,1.989816,940.242859,0,0,,
941.8021,1.989769,941.8021,0,0,,
943.3612,1.989723,943.3612,0,0,,
944.9201,1.989677,944.9201,0,0,,
946.4788,1.989631,946.4788,0,0,,
948.0373,1.989585,948.0373,0,0,,
949.5956,1.98954,949.5956,0,0,,
951.1537,1.989495,951.1537,0,0,,
952.711731,1.98945,952.711731,0,0,,
954.2694,1.989405,954.2694,0,0,,
955.826965,1.98936,955.826965,0,0,,
957.3844,1.989316,957.3844,0,0,,
958.9415,1.989272,958.9415,0,0,,
960.498535,1.989228,960.498535,0,0,,
962.055359,1.989185,962.055359,0,0,,
963.611938,1.989141,963.611938,0,0,,
965.168335,1.989098,965.168335,0,0,,
966.7245,1.989055,966.7245,0,0,,
968.2806,1.989012,968.2806,0,0,,
969.8364,1.98897,969.8364,0,0,,
971.3921,1.988928,971.3921,0,0,,
972.947449,1.988886,972.947449,0,0,,
974.502747,1.988844,974.502747,0,0,,
976.0578,1.988802,976.0578,0,0,,
977.6126,1.988761,977.6126,0,0,,
979.1673,1.988719,979.1673,0,0,,
980.7217,1.988678,980.7217,0,0,,
982.276,1.988638,982.276,0,0,,
983.829956,1.988597,983.829956,0,0,,
985.3839,1.988557,985.3839,0,0,,
986.9375,1.988516,986.9375,0,0,,
988.4909,1.988477,988.4909,0,0,,
990.04425,1.988437,990.04425,0,0,,
991.5973,1.988397,991.5973,0,0,,
993.1501,1.988358,993.1501,0,0,,
994.702759,1.988318,994.702759,0,0,,
996.2552,1.988279,996.2552,0,0,,
997.807434,1.988241,997.807434,0,0,,
999.3594,1.988202,999.3594,0,0,,
1011.95813,1.987895,1011.95813,0,0,,
1015.33533,1.987815,1015.33533,0,0,,
1018.71307,1.987736,1018.71307,0,0,,
1022.09143,1.987657,1022.09143,0,0,,
1025.47034,1.987579,1025.47034,0,0,,
1028.84985,1.987502,1028.84985,0,0,,
1032.22974,1.987426,1032.22974,0,0,,
1035.61047,1.98735,1035.61047,0,0,,
1038.99158,1.987275,1038.99158,0,0,,
1042.37329,1.987201,1042.37329,0,0,,
1045.75562,1.987128,1045.75562,0,0,,
1049.13855,1.987055,1049.13855,0,0,,
1052.52209,1.986983,1052.52209,0,0,,
1055.906,1.986912,1055.906,0,0,,
1059.29065,1.986842,1059.29065,0,0,,
1062.6759,1.986772,1062.6759,0,0,,
1066.06165,1.986702,1066.06165,0,0,,
1069.448,1.986634,1069.448,0,0,,
1072.83472,1.986566,1072.83472,0,0,,
1076.22229,1.986499,1076.22229,0,0,,
1079.61023,1.986432,1079.61023,0,0,,
1082.9989,1.986366,1082.9989,0,0,,
1086.38806,1.986301,1086.38806,0,0,,
1089.77783,1.986236,1089.77783,0,0,,
1093.16821,1.986172,1093.16821,0,0,,
1096.559,1.986109,1096.559,0,0,,
1099.95044,1.986046,1099.95044,0,0,,
1103.34253,1.985983,1103.34253,0,0,,
1106.73511,1.985922,1106.73511,0,0,,
1110.12817,1.98586,1110.12817,0,0,,
1113.522,1.9858,1113.522,0,0,,
1116.91626,1.98574,1116.91626,0,0,,
1120.31128,1.98568,1120.31128,0,0,,
1123.70667,1.985621,1123.70667,0,0,,
1127.10266,1.985563,1127.10266,0,0,,
1130.49927,1.985505,1130.49927,0,0,,
1133.89636,1.985447,1133.89636,0,0,,
1137.29419,1.98539,1137.29419,0,0,,
1140.6925,1.985334,1140.6925,0,0,,
1144.09131,1.985278,1144.09131,0,0,,
